input	target	source_rule	freq	edit_count	seed	freq_bucket
intranel	intranet	ocr_confusion	6.76e-07	1	42	2
evrasiático	eurasiático	historical	0.0	1	42	2
coñsumido	consumido	ocr_confusion	3.09e-06	1	42	4
posadaas	posadas	typo	3.39e-06	1	42	4
aqlegamar	alegamar	typo	0.0	1	42	0
maliña	malina	ocr_confusion	0.0	1	42	0
regrefárá	regresará	ocr_confusion	2.29e-06	2	42	3
cuarar	cuadrar	typo	7.76e-07	1	42	2
uergel	vergel	historical	0.0	1	42	1
duracioñ	duracion	ocr_confusion	6.31e-07	1	42	2
aburrar	aburrar	identity	0.0	0	42	0
regosfar	regostar	ocr_confusion	0.0	1	42	0
laméntan	lamentan	ocr_confusion	9.12e-07	1	42	2
ferrimagnético	ferrimagnético	identity	0.0	0	42	1
unncir	uncir	typo	0.0	1	42	0
médycas	médicas	historical	7.76e-06	1	42	4
rematadaente	rematadamente	typo	0.0	1	42	2
iniçiando	iniciando	historical	3.98e-06	1	42	4
pateh	patch	ocr_confusion	8.32e-07	1	42	2
jurad	jurado	typo	2.57e-05	1	42	4
esrtenuo	estrenuo	typo	0.0	2	42	1
épiscopio	episcopio	ocr_confusion	0.0	1	42	1
esttoy	estoy	typo	0.000776	1	42	4
chapinero	chapinero	identity	0.0	0	42	2
raslrea	rastrea	ocr_confusion	8.13e-07	1	42	2
veintidós	veintidós	identity	1.86e-06	0	42	3
dárosló	dároslo	ocr_confusion	0.0	1	42	1
extradifado	extraditado	ocr_confusion	5.75e-07	1	42	2
lorcido	torcido	ocr_confusion	1.35e-06	1	42	3
nikolaí	nikolai	ocr_confusion	1.2e-06	1	42	3
remesllado	remellado	typo	0.0	1	42	1
deeshaz	deshaz	typo	0.0	1	42	0
palpitacíón	palpitación	ocr_confusion	0.0	1	42	0
incoñscieñté	inconsciente	ocr_confusion	8.51e-06	3	42	4
óyélo	óyelo	ocr_confusion	0.0	1	42	1
marqunia	marquina	typo	5.75e-07	2	42	2
sustantjvar	sustantivar	historical	0.0	1	42	1
hablárle	hablarle	ocr_confusion	8.51e-06	1	42	4
embaíse	embaíste	typo	0.0	1	42	1
msrtina	martina	typo	2.29e-06	1	42	3
atéstado	atestado	ocr_confusion	6.31e-07	1	42	2
accidental	accidental	identity	3.8e-06	0	42	4
repróchá	reprocha	ocr_confusion	7.41e-07	2	42	2
uñídos	unidos	ocr_confusion	0.00024	2	42	4
defpensero	despensero	ocr_confusion	0.0	1	42	1
siesta	siesta	identity	6.46e-06	0	42	4
acogedoor	acogedor	typo	1.62e-06	1	42	3
deçlarar	declarar	historical	1.74e-05	1	42	4
grriselda	griselda	typo	6.46e-07	1	42	2
nomro	nombro	typo	1.35e-06	1	42	3
mampára	mampara	ocr_confusion	0.0	1	42	1
perchonra	perchonar	typo	0.0	2	42	1
escupen	escupen	identity	5.75e-07	0	42	2
humenate	humeante	typo	5.89e-07	2	42	2
discernidor	discernidor	identity	0.0	0	42	1
ochibición	cohibición	typo	0.0	2	42	1
ignaciaño	ignaciano	ocr_confusion	0.0	1	42	1
parrañda	parranda	ocr_confusion	8.32e-07	1	42	2
limoncro	limonero	ocr_confusion	0.0	1	42	0
adhorlar	adhortar	ocr_confusion	0.0	1	42	0
manejadas	manejadas	identity	7.24e-07	0	42	2
dcteelada	detectada	ocr_confusion	9.12e-07	3	42	2
eñsenar	ensenar	ocr_confusion	0.0	1	42	1
lócos	locos	ocr_confusion	2.45e-05	1	42	4
tiros	tiros	identity	1.48e-05	0	42	4
çonllorar	conllorar	historical	0.0	1	42	1
sabejs	sabeis	historical	2.24e-06	1	42	3
trica	trinca	typo	0.0	1	42	2
cónstan	constan	ocr_confusion	1.62e-06	1	42	3
efcaño	escaño	ocr_confusion	3.16e-06	1	42	4
búrro	burro	ocr_confusion	7.24e-06	1	42	4
laráyal	tarayal	ocr_confusion	0.0	2	42	0
amorosa	amorosa	identity	6.17e-06	0	42	4
kilopondoi	kilopondio	typo	0.0	2	42	0
gafo	gato	ocr_confusion	4.17e-05	1	42	4
gustaban	gustaban	identity	3.8e-06	0	42	4
hambvrguesería	hamburguesería	historical	0.0	1	42	1
