Input	Target
"EXHORTACION
a los Maesfróſ."	"EXHORTACION
a los Maestros."
"EMULANDO lás
obligaciones, y
zelo de las bue
nas madres a quie
concede nuestro
Seño:r tiempo de
poder ser a sus hijos Maestrar de
birtud, he procurado recoger en
este tratadillo los primeros materiales para la educacio de los mios."	"EMULANDO las
obligaciones, y
zelo de las bue
nas madres a quie
concede nuestro
Señor tiempo de
poder ser a sus hijos Maestrar de
virtud, he procurado recoger en
este tratadillo los primeros materiales para la educacio de los mios."
"Ante todas cosas. lo que deven creer y  entender: seundo lo que deven obrar; y tras esto lo que les
conviene saber, y premmeditar des
de la cuna hasta el ultimo dia de su
vida, que es el ser mortales."	"Ante todas cosas lo que deven creer y entender: segundo lo que deven obrar; y tras esto lo que les
conviene saber, y premeditar des
de la cuna hasta el ultimo dia de su
vida, que es el ser mortales."
"Ay ynfinitos cathecismos con
declaraciones de la Doc,trinia Christiana, y no menos exercicios espirituales de cada dia, como otros de
la muerte; pero ueo tan pocas ue
zes nada de esto en ,manos de gente noboe, que me parece se persuaden, no son materias que tocan a su 
estado."	"Ay infinitos cathecismos con
declaraciones de la Doctrinia Christiana, y no menos exercicios espirituales de cada dia, como otros de
la muerte; pero veo tan pocas ve
zes nada de esto en manos de gente noboe, que me parece se persuaden, no son materias que tocan a su 
estado."
"Para ecta obra me ha parecido 
elegir de las de aquel santo varon
(por mil razones Eminentisimo)
Cardenal Belarminio algunas materias, assi para la declaracion de la
Doctrina Christiana, como otras, 
que tambien son de la importante 
(y que es justo no ignore gente de
entendmiento) de que va compuesto un sucinto Dialago, pues assi podra mejor tomarse de memoria, 
cosa muy concerniente a los ninos;
y otro exercicio breve para cada
dia, que ordenado uno de los de la
vida, lo esta toda ella con la perseverancia; para este se ha sacado lo 
que ha parecido mas al intento de
los muchos Maestros espirituales,
que escriven sobre essa materia: el
de la muerte es por camino diferente de los que corren, y aunque
parecera a algunos materia muy
solida para ninos, desde los diez y 
seys anos la juzgo convenientissima, que pues en esse tiempo empiezan a conocer, y aun a elegir, lo
que los despena, necessitan de tal
rienda."	"Para esta obra me ha parecido 
elegir de las de aquel santo varon
(por mil razones Eminentisimo)
Cardenal Belarminio algunas materias, assi para la declaracion de la
Doctrina Christiana, como otras, 
que tambien son de la importante 
(y que es justo no ignore gente de
entendmiento) de que va compuesto un sucinto Dialago, pues assi podra mejor tomarse de memoria, 
cosa muy concerniente a los niños;
y otro exercicio breve para cada
dia, que ordenado uno de los de la
vida, lo esta toda ella con la perseverancia; para este se ha sacado lo 
que ha parecido mas al intento de
los muchos Maestros espirituales,
que escriven sobre essa materia: el
de la muerte es por camino diferente de los que corren, y aunque
parecera a algunos materia muy
solida para niños, desde los diez y 
seys años la juzgo convenientissima, que pues en esse tiempo empiezan a conocer, y aun a elegir, lo
que los despeña, necessitan de tal
rienda."
"Todó efl0 lo dedico à mi5
Hlgos, pára quc viend0 el sobrc eserit0 enoaminàdo a ellos, no puédañ desconocerïo, ni dudén que
había còn niñoſ Nòbles, y con
Càvaileros Chrislian0s; mas para
que se lo deñ a enfender ,àssi desdé
ia5 pr1meras 1ïciones, io pongò àntes que cn laf suyas, en manos dé
lóſ Máeslro5 que se les han scñalad0, éxhortándoïos junlámeñle a
üsar o0mo dcven de su Magisferio."	"Todo esto lo dedico a mis
Hijos, para que viendo el sobre escrito encaminado a ellos, no puedan desconocerlo, ni duden que
habla con niños Nobles, y con
Cavalleros Christianos; mas para
que se lo den a entender assi desde
las primeras liciones, lo pongo antes que en las suyas, en manos de
los Maestros que se les han señalado, exhortandolos juntamente a
usar como deven de su Magisterio."
"Y sea lo primero que les pido, encomienden mucyk a Dios este
acierto, no solo al principio, sino
con continuacion, despertando, o
dando vida (segun dizen otros con 
essos bramidos de generosos Leones, a los recien nacidos cachorriyos, que no solo deven imitarles
esta propiedad, sino tambien la de
hazerse temer, con entereza y severidad a los discipulos rebeld es, y
en la piedad, y mansedumbre con
los humildes y dociles."	"Y sea lo primero que les pido, encomienden mucho a Dios este
acierto, no solo al principio, sino
con continuacion, despertando, o
dando vida (según dizen otros con 
essos bramidos de generosos Leones, a los recien nacidos cachorrillos, que no solo deven imitarles
esta propiedad, sino tambien la de
hazerse temer, con entereza y severidad a los discipulos rebeldes, y
en la piedad, y mansedumbre con
los humildes y dociles."
"Poco diFerencia de eslo lo que dize Sañ
Agustin, de qúe la dòctrina tiene
dof partes, qüe f0n, la prohibicion
dondc es meñéster el temor, y íá 
instrucc1on que 5e ha de hazer con
amor; tomen pues al giorioso Patriarca San Ioseph pór guia, y Pa
tron, que como dize San Bernardo
füé Ayo de Chrlsto, y cóñsideren
loſ m0tivof, con que se hállarañ
ob1igadof a cncàrgarse dé5ta empréfsa múy de veras, El priméro, 
averlos Dióſ clegido para cllà, como se puede creer eñ fodo5 los ca
sos que se éncomiéñdan a sú providencia, y se dcsean para su servlcio; y ésta eleccion es de Angeles
dc güarda para eñcaminar y preservar laſ almas de sus d1cipülòs
(que han de hazer de h0mbres de
tierrà Ciudadanos para el oieló) lá
qual pàrece los persuade a teñer 
pureza oomo Angeiica, tan forzo5a
para que 0bre la ensenánza, quc ha
de ser muy perfecto el que ha de
presérvar de fallas a ofròſ."	"Poco diFerencia de esto lo que dize San
Agustin, de que la doctrina tiene
dos partes, que son, la prohibicion
donde es menester el temor, y la 
instrucción que se ha de hazer con
amor; tomen pues al glorioso Patriarca San Ioseph por guia, y Pa
tron, que como dize San Bernardo
fue Ayo de Christo, y consideren
los motivos, con que se hallaran
obligados a encargarse desta empressa muy de veras, El primero, 
averlos Dios elegido para ella, como se puede creer en todos los ca
sos que se encomiendan a su providencia, y se desean para su servicio; y esta eleccion es de Angeles
de guarda para encaminar y preservar las almas de sus dicipulos
(que han de hazer de hombres de
tierra Ciudadanos para el cielo) la
qual parece los persuade a tener 
pureza como Angelica, tan forzosa
para que obre la enseñanza, que ha
de ser muy perfecto el que ha de
preservar de faltas a otros."
"As5í lo
manifiesfo aque1 mandalo de Dios, 
qüe suessen de or0 aceñdradissimo
la5 fenàcilla5 para despavilar en el 
Santuario."	"Assi lo
manifiesto aquel mandato de Dios, 
que fuessen de oro acendradissimo
las tenazillas para despavilar en el 
Santuario."
"Y por San Mateo dise
que el ensenar no ha de ser con palabras muertas, sino con obras vivas: que es lo mismo que les amonesta el Sabio, de que funden la
doctrina en buen ejemplo, al qual
creen mas los hombres, que a las
palabras que oyen dixo Seneca."	"Y por San Matheo dize
que el enseñar no ha de ser con palabras muertas, sino con obras vivas: que es lo mismo que les amonesta el Sabio, de que funden la
doctrina en buen exemplo, al qual
creen mas los hombres, que a las
palabras que oyen dixo Seneca."
