input	target	source_rule	freq	edit_count	seed
mantcamieñto	manteamiento	ocr_confusion	0.0	2	42
doloridaa	dolorida	typo	0.0	1	42
zlgarrobal	algarrobal	typo	0.0	1	42
rcne	rene	ocr_confusion	1.62e-06	1	42
trasládañ	trasladan	ocr_confusion	1.95e-06	2	42
boteyero	botellero	historical	0.0	2	42
pénar	penar	ocr_confusion	0.0	1	42
ventcro	ventero	ocr_confusion	0.0	1	42
piizza	pizza	typo	1.74e-05	1	42
caladea	caladera	typo	0.0	1	42
mavra	maura	historical	1.58e-06	1	42
redoñda	redonda	ocr_confusion	7.76e-06	1	42
ceñlisquear	cellisquear	typo	0.0	1	42
entróñcar	entroncar	ocr_confusion	0.0	2	42
attímetro	altímetro	ocr_confusion	0.0	1	42
réaccione	reaccione	ocr_confusion	9.33e-07	1	42
pañamericanof	panamericanos	ocr_confusion	9.77e-07	2	42
iujear	jujear	historical	0.0	1	42
fenares	henares	historical	2.63e-06	1	42
irlánda	irlanda	ocr_confusion	1.05e-05	1	42
rehincchieren	rehinchieren	typo	0.0	1	42
villar	vilar	typo	6.92e-07	1	42
familia	familia	identity	0.000339	0	42
esferá	esfera	ocr_confusion	1.23e-05	1	42
interbenido	intervenido	historical	3.72e-06	1	42
taablizo	tablizo	typo	0.0	1	42
banesto	banesto	identity	0.0	0	42
vyales	viales	historical	2e-06	1	42
sratasar	fratasar	ocr_confusion	0.0	1	42
contrinante	contrincante	typo	1.55e-06	1	42
hurley	hurley	identity	5.89e-07	0	42
interconectados	interconectados	identity	5.5e-07	0	42
myrlo	mirlo	historical	0.0	1	42
coclearia	coclearia	identity	0.0	0	42
sobrillazo	sombrillazo	typo	0.0	1	42
programacion	programacion	identity	7.76e-07	0	42
eullura	cultura	ocr_confusion	0.000174	2	42
germañía	germanía	ocr_confusion	0.0	1	42
ajoñjero	ajonjero	ocr_confusion	0.0	1	42
sjmplismo	simplismo	historical	0.0	1	42
kíss	kiss	ocr_confusion	2.29e-06	1	42
desembaúlar	desembaular	ocr_confusion	0.0	1	42
amayórazgar	amayorazgar	ocr_confusion	0.0	1	42
pobllador	poblador	typo	0.0	1	42
desçogotar	descogotar	historical	0.0	1	42
boljdos	boludos	typo	3.09e-06	1	42
megaferio	megaterio	ocr_confusion	0.0	1	42
scrbios	serbios	ocr_confusion	2.51e-06	1	42
costura	costura	identity	2.45e-06	0	42
entren	entren	identity	7.76e-06	0	42
bómí	borní	ocr_confusion	0.0	3	42
balsamlta	balsamita	ocr_confusion	0.0	1	42
ovmitar	vomitar	typo	4.17e-06	2	42
lncumplir	incumplir	ocr_confusion	1.29e-06	1	42
efbozó	esbozó	ocr_confusion	5.62e-07	1	42
çonocía	conocía	historical	2.09e-05	1	42
